month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202501,34025,"monmouth, nj",836794.0,0.0461,0.0347,996.0,-0.0978,0.0252,64.0,0.016,-0.0155,492.0,0.3898,-0.0611,4.0,-0.6667,-0.8462,146.0,0.1231,0.2807,993.0,-0.1193,0.1182,391.0,0.0162,-0.0032,1956.0,-0.0062,-0.005,1310758.0,0.0401,0.0502,1982.0,-0.106,0.0784,0.997,-0.0243,0.0829,0.0
202501,34039,"union, nj",595475.0,0.0293,0.0842,331.0,-0.1005,-0.065,47.0,0.0,0.1899,262.0,1.0154,-0.015,6.0,,-0.5,36.0,-0.1429,0.0,294.0,-0.1278,-0.0051,369.0,0.002,0.0786,1946.0,0.0775,0.0188,739715.0,0.0178,0.0672,616.0,-0.12,-0.0494,0.8867,-0.0277,0.0534,0.0
202501,34035,"somerset, nj",675750.0,-0.0189,0.1119,318.0,-0.0742,0.2091,51.0,0.0459,0.1141,224.0,0.697,0.2308,2.0,0.0,0.0,34.0,0.0,0.2143,238.0,-0.1935,-0.0084,334.0,0.0039,0.0651,1911.0,-0.024,-0.1552,951934.0,-0.0415,-0.0788,551.0,-0.1302,0.1154,0.7469,-0.1105,-0.1638,0.0
202501,34001,"atlantic, nj",399900.0,-0.0002,0.0023,892.0,-0.0531,0.0852,69.0,0.0223,0.0148,348.0,0.3182,0.0482,22.0,0.1,0.1,150.0,0.2712,0.0135,429.0,-0.0467,-0.0561,260.0,-0.0215,0.0654,1506.0,0.0,-0.0026,748753.0,-0.0397,0.0935,1300.0,-0.0614,0.0244,0.4812,0.0033,-0.072,0.0
202501,34029,"ocean, nj",547000.0,0.0046,0.0069,1667.0,-0.0482,0.1469,59.0,0.0,-0.0209,798.0,0.4833,0.0257,8.0,0.0,-0.5556,368.0,0.7196,0.305,1090.0,-0.1124,-0.0947,309.0,-0.0034,0.0537,1717.0,0.0146,-0.0254,829422.0,-0.0178,-0.0309,2720.0,-0.0737,0.0323,0.6536,-0.0473,-0.1744,0.0
202501,34011,"cumberland, nj",299850.0,-0.0003,0.139,270.0,-0.0128,0.13,65.0,-0.0226,0.1659,126.0,0.75,0.1053,2.0,,-0.5,80.0,0.8182,0.0811,144.0,-0.0336,0.0992,193.0,0.0022,0.0396,1523.0,-0.0388,0.0228,348120.0,-0.0104,0.07,414.0,-0.0178,0.1267,0.5343,-0.0115,-0.0149,0.0
202501,34021,"mercer, nj",417000.0,-0.0118,0.0638,414.0,-0.0645,0.3806,60.0,0.165,0.1765,194.0,0.3288,-0.1101,8.0,3.0,-0.5,90.0,0.4516,0.9565,390.0,-0.1257,-0.1178,268.0,0.0006,0.1073,1542.0,-0.0052,-0.0267,690891.0,-0.0093,0.1172,790.0,-0.0998,0.0712,0.942,-0.066,-0.5322,0.0
202501,34033,"salem, nj",310950.0,0.0367,0.1562,167.0,-0.0902,0.0777,70.0,0.0938,-0.1515,76.0,0.4074,0.3103,4.0,1.0,1.0,48.0,0.5,0.2632,89.0,-0.038,0.1722,191.0,0.0069,0.0637,1809.0,0.0163,0.1049,395991.0,0.0218,0.0932,257.0,-0.0673,0.0962,0.5315,0.0288,0.0429,0.0
202501,34003,"bergen, nj",785250.0,-0.015,0.0,971.0,-0.0726,0.0647,54.0,0.1031,-0.0093,550.0,1.0073,0.0261,6.0,-0.25,0.0,108.0,0.4595,0.4211,183.0,-0.1907,0.2207,408.0,0.0046,0.067,1951.0,-0.009,-0.0601,1418584.0,0.0222,0.0308,1138.0,-0.094,0.0838,0.188,-0.0274,0.024,0.0
202501,34009,"cape may, nj",862281.0,-0.0003,-0.0678,755.0,-0.0702,0.071,86.0,0.1213,0.0556,230.0,0.6429,0.0268,4.0,1.0,1.0,110.0,0.3095,0.1702,317.0,-0.1207,-0.0078,674.0,-0.005,0.036,1595.0,-0.0062,-0.0616,1458023.0,-0.0488,-0.072,1061.0,-0.0916,0.0433,0.4201,-0.0241,-0.0334,0.0
